,Time of Weather,Min Temp,Max Temp,Windspeed
0,2024-03-28 15:00:00,34.15,34.78,2.85
1,2024-03-28 18:00:00,31.27,32.54,2.44
2,2024-03-28 21:00:00,29.06,29.06,1.35
3,2024-03-29 00:00:00,28.39,28.39,0.7
4,2024-03-29 03:00:00,31.34,31.34,2.03
5,2024-03-29 06:00:00,37.19,37.19,2.18
6,2024-03-29 09:00:00,40.09,40.09,0.41
7,2024-03-29 12:00:00,38.94,38.94,2.35
8,2024-03-29 15:00:00,34.75,34.75,3.68
9,2024-03-29 18:00:00,32.03,32.03,1.43
10,2024-03-29 21:00:00,29.94,29.94,1.41
11,2024-03-30 00:00:00,28.55,28.55,3.07
12,2024-03-30 03:00:00,30.29,30.29,4.31
13,2024-03-30 06:00:00,36.23,36.23,3.35
14,2024-03-30 09:00:00,38.75,38.75,3.5
15,2024-03-30 12:00:00,37.93,37.93,4.99
16,2024-03-30 15:00:00,33.21,33.21,4.3
17,2024-03-30 18:00:00,30.2,30.2,3.02
18,2024-03-30 21:00:00,27.74,27.74,2.4
19,2024-03-31 00:00:00,25.67,25.67,2.03
20,2024-03-31 03:00:00,28.29,28.29,3.97
21,2024-03-31 06:00:00,34.44,34.44,3.3
22,2024-03-31 09:00:00,36.84,36.84,1.8
23,2024-03-31 12:00:00,36.58,36.58,3.91
24,2024-03-31 15:00:00,32.24,32.24,3.34
25,2024-03-31 18:00:00,29.81,29.81,2.31
26,2024-03-31 21:00:00,27.88,27.88,2.16
27,2024-04-01 00:00:00,25.88,25.88,1.81
28,2024-04-01 03:00:00,28.57,28.57,1.47
29,2024-04-01 06:00:00,33.35,33.35,3.23
30,2024-04-01 09:00:00,36.12,36.12,4.31
31,2024-04-01 12:00:00,35.14,35.14,4.35
32,2024-04-01 15:00:00,31.74,31.74,4.95
33,2024-04-01 18:00:00,29.38,29.38,4.05
34,2024-04-01 21:00:00,27.05,27.05,3.85
35,2024-04-02 00:00:00,25.12,25.12,2.45
36,2024-04-02 03:00:00,28.57,28.57,2.1
37,2024-04-02 06:00:00,34.52,34.52,2.77
38,2024-04-02 09:00:00,36.83,36.83,2.55
39,2024-04-02 12:00:00,36.42,36.42,4.39
