,Column1,Column2
0,2024 election live updates: RFK Jr. vice president announcement - CNN,Independent presidential candidate Robert F. Kennedy Jr. is expected to announce his vice presidential running mate Tuesday. Follow here for the latest live news updates.
1,Trader Joe's has raised its banana prices for the first time in more than 20 years - Salon,A news brief on the grocer hiking up its banana prices after more than two decades
2,Flintlock: The Siege of Dawn - Official Extended Gameplay Overview Trailer - IGN,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube."
3,Trump's new social media company looks like a meme stock - Yahoo Finance,Strong short interest in Trump's public media company Truth Social suggests a gloomy view of its future.
4,"Apple's Worldwide Developers Conference returns June 10, 2024 - Apple","Apple today announced it will host its annual Worldwide Developers Conference (WWDC) online from June 10 through 14, 2024."
5,"Sean ‘Diddy’ Combs is target of investigation carried out by Homeland Security team that specializes in human trafficking, source says - CNN","Homes belonging to Sean “Diddy” Combs were searched by authorities Monday because he is a target of a federal investigation carried out by a Department of Homeland Security team that handles human trafficking crimes, according to a senior federal law enforcem…"
6,Texas AG Ken Paxton reaches deal to end securities fraud charges after 9 years - The Associated Press,Prosecutors have announced a deal with Texas Attorney General Ken Paxton to drop securities fraud charges that were pending against him for nearly a decade. The resolution of Paxton’s criminal case was announced during a court hearing Tuesday in Houston. Pros…
7,"McDonald's to start selling Krispy Kreme donuts, with national rollout by 2026 - CBS News","Krispy Kreme shares soared after the announcement of the deal, which will significantly broaden its U.S. footprint."
8,2024 NFL Mock Draft: Two teams trade into the top 5 to select QBs; Jim Harbaugh passes on Marvin Harrison Jr. - CBS Sports,Quarterbacks rule the day in historic fashion
9,[Removed],[Removed]
10,Baltimore Key bridge collapse: Search on for at least 6 missing - The Associated Press,"A container ship lost power and rammed into a major bridge in Baltimore, causing the span to buckle into the river below. The collapse plunged a construction crew and several vehicles into the dangerously cold waters. Rescuers pulled out two people, but six o…"
11,"With its soldiers mired in Gaza, Israel fights a battle at home over drafting the ultra-Orthodox - The Associated Press","As Israel battles a prolonged war in Gaza, exemptions from mandatory military service for ultra-Orthodox men have reopened a divide in the country and rattled the government coalition. Prime Minister Benjamin Netanyahu’s fellow War Cabinet members staunchly o…"
12,"Trump accuses hush money judge of bias, points to daughter's political work as trial nears - CNBC","Donald Trump's attorneys previously called Judge Juan Merchan to recuse himself from the criminal hush money case, pointing to the judge's daughter's role."
13,The irony of Steve Martin's life isn't lost on him - The Associated Press,People participate in documentaries for all kinds of reasons. But Steve Martin may be unique in making a film about his life with the instruction of: “See if you can make sense of all THAT.” Morgan Neville's Apple TV+ documentary “STEVE! (martin) a documentar…
14,J.J. Watt likens NFL's hip-drop tackle ban to flag football as players sound off on controversial rule change - Yahoo Sports,Reactions to the ban were impassioned and varied among NFL players past and present.
15,"NYC subway rider is pushed onto tracks and killed, latest in a series of attacks underground - ABC News",A subway rider was pushed onto the tracks and killed by a train
16,Israeli delegation leaves Qatar negotiations after Hamas rejects latest hostage release proposal - Fox News,"An Israeli delegation departed Doha, Qatar, on Tuesday, condemning Hamas for rejecting a compromise during hostage release negotiations."
17,"Refs called out for favoring Caitlin Clark, Iowa in March Madness: West Virginia 'getting jobbed' - New York Post ","Some college basketball fans, including one veteran NBA star, were disappointed in the apparent lop-sided officiating in Iowa’s win over West Virginia in the second round of the NCAA Women&#8…"
18,[Removed],[Removed]
19,"iPhone 16 Dummy Models Showcase Design Changes, New Buttons - MacRumors","Images comparing purportedly accurate dummy models of the iPhone 16 series have been shared online, providing a closer look at the rumored design of..."
